feature,kendall_vs_base_ndcg,kendall_vs_gain,pearson_vs_base_ndcg,pearson_vs_gain,abs_kendall_vs_gain
hybrid_max,0.4995046921448688,-0.16633717014337318,0.4810925793231897,-0.2391959759619691,0.16633717014337318
dense_nqc,0.24034775791410812,-0.09028550728779469,0.31999174921568646,-0.13507785760945018,0.09028550728779469
dense_std,0.24034775791410812,-0.09028550728779469,0.31999174921568646,-0.13507785760945018,0.09028550728779469
hybrid_gap,0.11207238721387533,-0.060035642761003934,0.07568286514460934,-0.11555199810527027,0.060035642761003934
hybrid_nqc,0.05778596007290894,-0.045431337457146004,0.026864458211850083,-0.08279604340738336,0.045431337457146004
hybrid_std,0.05778596007290894,-0.045431337457146004,0.0268644582118501,-0.08279604340738335,0.045431337457146004
dense_max,0.14328826298621763,-0.030479947513596443,0.19366937767452394,-0.048206878276775285,0.030479947513596443
disagreement,-0.13415671331813245,0.0290737010761636,-0.18026474399531198,0.03929223927857418,0.0290737010761636
bm25_dense_overlap,0.13415671331813245,-0.0290737010761636,0.18026474399531198,-0.039292239278574156,0.0290737010761636
dense_wig,-0.04601958811236186,0.02745668851765811,-0.06682196327336615,0.04355646419052964,0.02745668851765811
bm25_gap,0.33544622189693096,0.011819116631931914,0.3885881200792742,-0.02115337425320618,0.011819116631931914
bm25_max,0.22343158360793453,-0.011489793275719608,0.30085302007356707,-0.04465335410838098,0.011489793275719608
hybrid_wig,0.09193458625174109,-0.009811849650454401,0.1895336749260831,-0.022241130280094012,0.009811849650454401
bm25_std,0.3192715706870307,0.008135587214111215,0.35233219462812043,-0.017460720683613568,0.008135587214111215
bm25_nqc,0.3192715706870307,0.008135587214111215,0.3523321946281205,-0.017460720683613574,0.008135587214111215
bm25_wig,0.05242806193886212,-0.0049198863093877915,0.09545516289388906,-0.05635083647366242,0.0049198863093877915
dense_gap,0.19809340882912133,0.0004122625903552269,0.27891657949263293,-0.06497187135817639,0.0004122625903552269
