feature,kendall_vs_base_ndcg,kendall_vs_gain,pearson_vs_base_ndcg,pearson_vs_gain,abs_kendall_vs_gain
hybrid_max,0.2799687670923218,-0.18410348043566074,0.39879227744832524,-0.22936101991647842,0.18410348043566074
disagreement,-0.24463784019281934,0.1664826653430595,-0.23996290140562077,0.1321096239189944,0.1664826653430595
bm25_dense_overlap,0.24463784019281934,-0.1664826653430595,0.23996290140562085,-0.13210962391899445,0.1664826653430595
hybrid_nqc,0.2594721946019967,-0.16446723910423075,0.3897857188891098,-0.22730991004991152,0.16446723910423075
hybrid_std,0.2594721946019967,-0.16446723910423075,0.38978571888910973,-0.22730991004991147,0.16446723910423075
hybrid_wig,0.20072414868578223,-0.1260345401943162,0.27836769377828524,-0.15868519442528764,0.1260345401943162
bm25_wig,-0.045710955372109084,0.1062115744464164,-0.07554039061965279,0.13289691602388112,0.1062115744464164
bm25_nqc,-0.052489916163790826,0.09893338381502408,-0.08228220610419965,0.12772068838611325,0.09893338381502408
bm25_std,-0.052489916163790826,0.09893338381502408,-0.08228220610419966,0.12772068838611325,0.09893338381502408
bm25_max,-0.04404880318575548,0.09684948562209297,-0.07096924087113761,0.12154287537049205,0.09684948562209297
hybrid_gap,0.0934724128067781,-0.06698894200627727,0.14371787227827254,-0.06873384741020341,0.06698894200627727
dense_wig,-0.01784892469961649,0.03688262366769335,-0.024555535370003385,0.006023777383308194,0.03688262366769335
dense_max,0.15330007407071103,0.026317851352110334,0.2045133947845047,0.022174307147690475,0.026317851352110334
bm25_gap,0.009212874731376629,-0.011615278211789034,0.030628384445696405,-0.04874218890505567,0.011615278211789034
dense_nqc,0.2739562460544985,0.0026655840440042906,0.3500292969088485,0.0002814979605887538,0.0026655840440042906
dense_std,0.2739562460544985,0.0026655840440042906,0.3500292969088486,0.000281497960588768,0.0026655840440042906
dense_gap,0.1649610511616358,0.000557510332601017,0.22526160875896428,0.03002739735841623,0.000557510332601017
