Model,nDCG@10,MAP@10,Recall@10,MRR@10,Coverage
BM25,0.6523,0.6071,0.7757,0.6184,0.0
BM25_RM3,0.0099,0.0059,0.0225,0.0061,0.0
Dense (SciNCL),0.564,0.5077,0.7233,0.5224,0.0
Dense (SPECTER),0.3523,0.3019,0.5004,0.3133,0.0
Dense (SciBERT),0.13,0.1023,0.2069,0.1152,0.0
Hybrid (SciNCL + BM25),0.6583,0.6022,0.8146,0.6157,0.0
Hybrid (SPECTER + BM25),0.3863,0.3274,0.5562,0.3421,0.0
Hybrid (SciBERT + BM25),0.4248,0.3444,0.6707,0.3612,0.0
Hybrid (SciNCL + BM25) + CE,0.6939,0.6448,0.8286,0.6604,1.0
Hybrid (SPECTER + BM25) + CE,0.5662,0.5389,0.6321,0.5544,1.0
Hybrid (SciBERT + BM25) + CE,0.6838,0.6415,0.7941,0.6579,1.0
CRC Selective (α=0.02),0.674,0.6195,0.8263,0.6325,0.1367
