Dataset,Method,Setup (s),Latency (ms/q),CPU (%),GPU (%),n_queries
SciFact,BM25 (lexical),0.3,10.8,100,0,300
SciFact,SciNCL (dense),29.7,0.1,5.8,90,300
SciFact,BGE-base (dense),33.5,0.3,5.8,90,300
SciFact,Hybrid RRF (BM25+BGE),33.8,11.0,100,5,300
SciFact,Adaptive RRF (BGE+BM25),33.8,11.5,100,5,300
SciFact,CE rerank only (top-20),8.2,27.5,6.8,88,300
SciFact,Always-Rerank (ARF+CE),42.0,39.0,100,88,300
NFCorpus,BM25 (lexical),0.4,7.6,100,0,323
NFCorpus,BGE-base (dense),21.3,0.3,5.8,90,323
NFCorpus,Hybrid RRF (BM25+BGE),21.7,8.0,100,5,323
NFCorpus,Adaptive RRF (BGE+BM25),21.7,8.5,100,5,323
NFCorpus,CE rerank only (top-20),8.2,27.5,6.8,88,323
SciDocs,BM25 (lexical),94.0,11.5,100,0,1000
SciDocs,BGE-base (dense),82.0,8.1,5.8,90,1000
SciDocs,Hybrid RRF (BM25+BGE),176.0,20.0,100,5,1000
SciDocs,Adaptive RRF (BGE+BM25),176.0,20.5,100,5,1000
SciDocs,CE rerank only (top-20),8.2,47.0,6.8,88,1000

